"sample id","MYCN","STC1","P4HA1","BHLHE40","HIF1A","ELVIDGE_HIF1A_TARGETS_UP","Quiescence Down Cheung","T cell exhaustion","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_HYPOXIA","ST8SIA1","Quiescence Up Cheung","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_MITOTIC_SPINDLE","HALLMARK_DNA_REPAIR","HALLMARK_G2M_CHECKPOINT","HALLMARK_APOPTOSIS","HALLMARK_E2F_TARGETS","HALLMARK_GLYCOLYSIS","HALLMARK_P53_PATHWAY","CHIP_HIF1A_300","CHIP_EPAS1_300","high_risk"
"GSM1205263","17.078","100.526","22.978","303.754","221.25","0.0144824698590269","-0.464458961816374","0.72308024938555","0.601223839025412","0.397493274938382","13.193","0.197150891679712","0.745242419812529","-0.230345586289103","-0.335743178785047","-0.481808514668486","0.488080583893515","-0.585856142364072","-0.108665955935968","0.415055643956098","0.0251099603814115","0.335737428953784","no"
"GSM1205264","35.583","6.533","17.83","51.458","59.445","-0.15537931134235","-0.69081702187779","0.660143258671619","0.470612703993755","-0.120719740903842","35.655","0.325360758043473","0.43927173925334","-0.368234810692992","-0.379179397473323","-0.550722125703402","0.307212463441395","-0.614366061377735","-0.249203058317903","0.233131426347878","-0.204243091921403","-0.0170490301933104","no"
"GSM1205265","43.873","3.641","9.294","28.608","48.111","-0.433269711881383","-0.457826514869606","-0.322661698083904","-0.361641946926585","-0.354142967655506","44.351","-0.10720094250319","-0.459563758911626","0.00864842739286231","-0.442067889754541","-0.370863814321266","-0.355698034624666","-0.424151051300472","-0.343775891338624","-0.407409802056501","-0.23117895059639","-0.230575511149003","no"
"GSM1205266","26.369","11.815","12.416","87.223","60.343","0.116096105408779","-0.359189085808351","0.280715872774309","0.327451281143799","0.111244704212644","40.781","0.0813725722322944","0.31348704662558","-0.32058302340113","-0.199682244683235","-0.544224961202393","0.129367882213148","-0.579820411942277","0.00677081782723035","0.119069272154038","-0.057517569725921","0.100141384685648","no"
"GSM1205267","29.168","7.059","15.662","69.025","65.535","-0.126342234357025","-0.182738575502469","0.227304142542915","0.157363280002448","-0.050653975027984","20.739","0.155357978363014","0.206092623321625","0.0370813438474369","-0.238864530280365","-0.226434454331201","0.267892154209879","-0.347095414654749","-0.0449595921341128","0.00788237886679763","-0.18990987509743","-0.0518593466293596","no"
"GSM1205268","25.319","6.282","15.42","42.298","58.202","-0.188178255239655","-0.517848902861261","-0.115886271187451","0.0155937944277562","-0.041244005201063","35.727","0.123246314141296","-0.106499952901485","-0.334219662446816","-0.38070246180995","-0.573494239357239","0.0423659036828","-0.652302190066955","-0.227869033202359","-0.0219972258522143","-0.0199458816246099","-0.0104336785146364","no"
"GSM1205269","22.601","12.527","13.475","111.049","82.912","-0.142785310300271","-0.648910800167045","0.702032189787173","0.519124064842786","0.19510863961078","23.896","0.272358427355162","0.589412700277462","-0.3657601014687","-0.491941973299697","-0.63734122685626","0.395621545478724","-0.706571424102603","-0.23341866270575","0.257429022823156","-0.0997374949223697","0.119384493511152","no"
"GSM1205270","33.357","4.055","13.667","39.426","51.458","-0.39983211643032","-0.0798869143779547","-0.454083074315068","-0.374805520438792","-0.258733806003589","25.847","-0.189676374950767","-0.459382008685632","0.166476430349533","-0.336513852515247","0.0210092125738215","-0.303568155481702","-0.00695406127031779","-0.295004256963105","-0.318102305271899","-0.112657227681749","-0.124404988454947","no"
"GSM1205271","51.04","4.102","11.461","38.349","37.277","0.115279515406244","-0.487980238581146","-0.491425015453798","-0.30449809526996","-0.21689261629088","36.629","0.0203792951822534","-0.357731115630209","-0.270150580297932","-0.250473704173322","-0.590717709107856","-0.182690701340533","-0.614160101998225","-0.209984627729383","-0.227185252752468","-0.0185680807075721","-0.00370773931070151","no"
"GSM1205272","60.838","18.852","14.823","68.79","81.84","-0.0593227493757248","-0.0223491636168319","-0.0781514173757408","0.403556460709537","-0.0184002281761313","28.228","0.381155504546835","0.3912529672484","0.226771060536676","-0.278428844032921","-0.212465144042699","0.278787885193896","-0.359163212707672","-0.235620408081431","0.143655719526176","0.072477192119185","0.0451247824495402","no"
"GSM1205273","23.331","16.105","26.055","132.416","97.804","-0.0488452236273237","-0.688693180286551","0.653504545214002","0.569385127843103","0.359418189198597","20.4","0.305426156056441","0.604011712860893","-0.192630770867223","-0.379537271710749","-0.610846385470339","0.548770764707708","-0.703065552483903","0.0454233458032992","0.383157164002227","0.12109404713952","0.213157001117632","no"
"GSM1205274","33.695","20.067","15.172","98.073","63.77","-0.174112728924302","-0.67757146937909","0.147288390925032","0.278781353799779","0.162683583949167","42.127","0.0406781812397683","0.382235780385073","-0.167585313258703","-0.429561344448334","-0.52969663593303","0.140057427698403","-0.613727792177562","-0.150846756262228","0.00235158905139715","-0.0450226991049217","0.069991384549743","no"
"GSM1205275","42.528","11.133","13.933","40.342","67.303","0.146982516872846","-0.657235440651746","0.135616327414486","0.310061991012906","-0.0808541925075022","39.055","0.155356772922154","0.289968417420702","-0.244075489105908","-0.304272551797612","-0.529586575349555","0.150133189894114","-0.553763275057162","-0.228400042100793","0.0754566703605257","-0.123762132850676","-0.0584361105121498","no"
"GSM1205276","22.556","28.993","14.548","112.276","83.025","-0.215920537276963","-0.661083793664269","-0.474946477243893","-0.151095845203329","-0.160274083263253","49.201","0.144014824719328","-0.00377738736561911","-0.344837087342553","-0.246076541064332","-0.480630580624338","-0.0909338837507141","-0.509382176051712","-0.295937911101395","-0.0131433521685169","-0.0435401532973607","-0.0636094078910565","no"
"GSM1205277","21.21","14.306","18.46","79.466","63.596","-0.284946467628591","-0.608278932890846","0.265353690549346","0.413898604267662","0.0862465312193192","15.723","0.341293090252788","0.421798079347771","-0.318412141044895","-0.308839422414499","-0.606574159928367","0.353794458042645","-0.663013913283944","-0.102475002208376","0.351248968958845","-0.0999371683157595","0.15254886924514","no"
"GSM1205278","22.422","14.05","9.809","114.93","67.625","-0.373177995079327","-0.287294710441159","0.0692627980261264","0.0303073695336588","-0.0456457498158804","24.023","0.151912780525998","0.288268211646308","0.154003036508538","-0.211853540690528","-0.01238630031201","0.00242620095214185","-0.222855512859253","-0.338516526035311","-0.201421138441203","-0.154610934477969","-0.00435825559225145","no"
"GSM1205279","27.483","39.774","25.084","122.011","104.393","0.16129273333029","-0.338621375997263","0.146287415279525","0.44438123140801","0.322473966664729","22.259","0.186233743160309","0.465679376892474","-0.344347395099632","-0.323213059406026","-0.65028948436668","0.397430396149669","-0.654269746278892","0.299261779194595","0.197174066240982","0.111279133464803","0.198277592590696","no"
